size,MAE,ppvalue,barrier,method,landscape
35,2.4646419733502,0.730069427021071,weak,random,scarcely
35,2.38912260037692,0.710859737818241,weak,random,scarcely
35,3.46616459755101,0.585154071403941,weak,random,scarcely
35,3.23773230332487,0.884774319866238,weak,random,scarcely
30,4.46578290287902,0.955034899337846,weak,random,scarcely
30,1.47267449214879,0.33184865613402,weak,random,scarcely
30,4.81222501562582,0.862470775136892,weak,random,scarcely
30,2.86821990603321,0.709046011798111,weak,random,scarcely
30,2.35688586277278,0.557155878201381,weak,random,scarcely
30,2.74909593412024,0.688515238787566,weak,random,scarcely
30,1.94970425133195,0.702605886659545,weak,random,scarcely
30,4.35038886762586,0.911088457049621,weak,random,scarcely
30,2.69268326706335,0.509044624121633,weak,random,scarcely
30,2.4501865805578,0.78290425345035,weak,random,scarcely
25,2.06170953174875,0.698871177289809,weak,random,scarcely
25,2.52971210556349,0.639201897006219,weak,random,scarcely
25,1.20554885829126,0.452841904515993,weak,random,scarcely
25,1.81465574315409,0.365662912971187,weak,random,scarcely
25,4.19887955533758,0.898696709697607,weak,random,scarcely
25,2.21644093358852,0.517946505540922,weak,random,scarcely
25,2.67362078928323,0.794748265033233,weak,random,scarcely
25,4.61197970750415,0.892111822436651,weak,random,scarcely
25,2.14862971975373,0.732643528521777,weak,random,scarcely
25,2.51244541486681,0.519201154211349,weak,random,scarcely
20,4.00368244832947,0.911360074791382,weak,random,scarcely
20,2.72562829668849,0.430103020336772,weak,random,scarcely
20,3.1275653631328,0.925384678228713,weak,random,scarcely
20,2.18344628614751,0.773987473482648,weak,random,scarcely
20,1.71282645513095,0.57186838324158,weak,random,scarcely
20,3.0898052517445,0.78762619497703,weak,random,scarcely
20,2.46448395517873,0.369853543324453,weak,random,scarcely
20,4.00537780624836,0.831055834629851,weak,random,scarcely
20,4.02063760779423,0.893762652311251,weak,random,scarcely
20,3.85717122948017,0.919986313437654,weak,random,scarcely
15,3.28784393737749,0.86387636770218,weak,random,scarcely
15,2.83198287419529,0.738883242244392,weak,random,scarcely
15,1.76739423605639,0.361167615997004,weak,random,scarcely
15,1.62993263656902,0.72386809341177,weak,random,scarcely
15,1.97461873093838,0.511419715518855,weak,random,scarcely
15,3.25180165403638,0.799806709385181,weak,random,scarcely
15,2.72658615124554,0.761401821861385,weak,random,scarcely
15,2.60224821925783,0.736848034467021,weak,random,scarcely
15,1.14860214598086,0.492966219819763,weak,random,scarcely
15,2.56708179561248,0.675390066130945,weak,random,scarcely
10,1.84533601097536,0.654017803345586,weak,random,scarcely
10,1.38427352464118,0.701906642406973,weak,random,scarcely
10,4.54676112094894,0.825291264308211,weak,random,scarcely
10,2.58866256488675,0.719742680746677,weak,random,scarcely
10,3.38156522286782,0.130562209853479,weak,random,scarcely
10,0.84311736225236,0.597465424803186,weak,random,scarcely
10,3.18949198801528,0.784013169336872,weak,random,scarcely
10,0.618798487402163,0.527074814371742,weak,random,scarcely
10,6.33040423295314,0.948766380015627,weak,random,scarcely
10,3.89933531090299,0.507871920902652,weak,random,scarcely
40,3.08192215467459,0.247145672166167,strong,clustering,densely
40,1.93259434358512,0.360142895450895,strong,clustering,densely
40,2.60758842617168,0.448602152509023,strong,clustering,densely
40,2.60495813646608,0.378293735691222,strong,clustering,densely
40,2.41374910551182,0.482274292753279,strong,clustering,densely
40,3.32913469519097,0.521395874820528,strong,clustering,densely
40,1.85653281453312,0.491664115996668,strong,clustering,densely
40,2.42061373969068,0.437158040943246,strong,clustering,densely
40,2.52681070268277,0.384110501804135,strong,clustering,densely
40,3.03015417894046,0.258820326668804,strong,clustering,densely
35,2.46043409475189,0.483573924304331,strong,clustering,densely
35,2.7512938876594,0.243519255525747,strong,clustering,densely
35,3.42308769762928,0.357663290303348,strong,clustering,densely
35,2.88288507301041,0.210744147380301,strong,clustering,densely
35,2.95783940310806,0.231905469246511,strong,clustering,densely
35,2.16113088361845,0.414169803772006,strong,clustering,densely
35,2.31349356680728,0.353289718794664,strong,clustering,densely
35,3.36403996911463,0.360070967319916,strong,clustering,densely
35,2.89291217626056,0.296974971455577,strong,clustering,densely
35,2.24332563219925,0.397082409269371,strong,clustering,densely
30,2.3626536226251,0.580832009195143,strong,clustering,densely
30,2.65223771340413,0.314335232407011,strong,clustering,densely
30,2.37966185762514,0.489736741127033,strong,clustering,densely
30,1.99816662542449,0.334490605108847,strong,clustering,densely
30,1.7324247135924,0.502056056598091,strong,clustering,densely
30,3.17533723845438,0.677942044441749,strong,clustering,densely
30,2.69436035879854,0.519026965939586,strong,clustering,densely
30,2.88945921941138,0.406389254912144,strong,clustering,densely
30,1.95855734713484,0.640822944214159,strong,clustering,densely
30,3.14850983782213,0.711506039374602,strong,clustering,densely
25,3.78734955505519,0.705270645407318,strong,clustering,densely
25,1.87137640367223,0.559009039282887,strong,clustering,densely
25,2.73867606787014,0.732505067878576,strong,clustering,densely
25,4.12467061010527,0.0959749533206441,strong,clustering,densely
25,1.45473967891816,0.48469196381342,strong,clustering,densely
25,1.33659131861057,0.459267243630664,strong,clustering,densely
25,2.7429964607222,0.430603969539556,strong,clustering,densely
25,2.67437628724562,0.369496691932543,strong,clustering,densely
25,2.99221222781345,0.433752624232846,strong,clustering,densely
25,2.01197826850542,0.448338863272957,strong,clustering,densely
20,2.15724500447413,0.347850190852227,strong,clustering,densely
20,4.72566323601619,0.756925003554461,strong,clustering,densely
20,3.31912683586908,0.0954134767455587,strong,clustering,densely
20,2.9068051768099,0.713891017678143,strong,clustering,densely
20,3.68924965204537,0.390818427575918,strong,clustering,densely
20,3.31402046583419,0.131609156929066,strong,clustering,densely
20,1.86573094216111,0.450958406597312,strong,clustering,densely
20,4.10084518660786,0.0933007854900254,strong,clustering,densely
20,2.9382943737133,0.273764988195542,strong,clustering,densely
20,2.37442598178302,0.267848326962311,strong,clustering,densely
15,3.45959244421169,0.468966680503719,strong,clustering,densely
15,3.52183261761994,0.220287430683916,strong,clustering,densely
15,1.9250536861587,0.476119909976082,strong,clustering,densely
15,4.22556716221992,0.500596188757276,strong,clustering,densely
15,2.6787153461464,0.29909823817726,strong,clustering,densely
15,1.11711587294632,0.663759238495748,strong,clustering,densely
15,3.85384618239561,0.358945988235663,strong,clustering,densely
15,3.82895175977628,0.14072784879776,strong,clustering,densely
15,1.56438235285979,0.540269359737447,strong,clustering,densely
